,stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id,count
1667,49.250529,51534.0,-123.033251,1546,,,,Eastbound E 22 Ave @ Rupert St,0,BUS ZN,120
1668,49.309693,54172.0,-123.057121,4217,,,,Northbound Queensbury Ave @ E 4th St,0,BUS ZN,55
1669,49.312182,59716.0,-123.07821,4211,,,,Northbound Lonsdale Ave @ E 1st St,0,BUS ZN,156
1670,49.292864,53919.0,-122.812174,3960,,,,Northbound Lansdowne Dr @ Greenhill Court,0,BUS ZN,52
1671,49.311865,54168.0,-123.073677,4213,,,,Eastbound E 3rd St @ St. Georges Ave,0,BUS ZN,51
1672,49.313157,54167.0,-123.076579,4212,,,,Eastbound E 3rd St @ Lonsdale Ave,0,BUS ZN,146
1673,49.294137,53920.0,-122.813308,3961,,,,Northbound Lansdowne Dr @ David Ave,0,BUS ZN,52
1674,49.312736,54173.0,-123.057031,4218,,,,Northbound Queensbury Ave @ E 7th St,0,BUS ZN,55
1675,49.280463,50689.0,-123.100688,696,,,,Westbound E Pender St @ Main St,0,BUS ZN,399
1676,49.273563,51917.0,-123.246195,1933,,,,Westbound Chancellor Blvd @ Allison Rd,0,BUS ZN,123
1677,49.266642,50356.0,-123.185897,360,,,,Southbound Alma St @ W 6th Ave,0,BUS ZN,74
1678,49.105096,55524.0,-122.856728,5579,,,,Northbound 132 St @ 56 Ave,0,BUS ZN,52
1679,49.104571,55523.0,-122.852736,5578,,,,Westbound 56 Ave @ 13300 Block,0,BUS ZN,54
1680,49.106948,55522.0,-122.845659,5577,,,,Southbound 136 St @ 5700 Block,0,BUS ZN,54
1681,49.108105,55521.0,-122.850547,5576,,,,Eastbound Hwy 10 @ 13400 Block,0,BUS ZN,54
1682,49.104626,55520.0,-122.862562,5574,,,,Eastbound 56 Ave @ Coulthard Rd,0,BUS ZN,52
1683,49.104366,55518.0,-122.874129,5572,,,,Eastbound 56 Ave @ 125A St,0,BUS ZN,52
1684,49.103985,55517.0,-122.878743,5571,,,,Eastbound New McLellan Rd @ 124 St,0,BUS ZN,52
1685,49.10346,55516.0,-122.881563,5570,,,,Eastbound New McLellan Rd @ 123 St,0,BUS ZN,52
1686,49.29652,58298.0,-122.802121,3968,,,,Southbound Johnson St @ Parkway Blvd,0,BUS ZN,54
1687,49.184551,55076.0,-122.87309,5128,,,,Westbound 100 Ave @ Helen Dr,0,BUS ZN,30
1688,49.292795,53928.0,-122.800732,3969,,,,Southbound Johnson St @ Delahaye Dr,0,BUS ZN,54
1689,49.254123,50335.0,-123.127471,339,,,,Southbound Oak St @ Douglas Cres,0,BUS ZN,74
1690,49.260251,50331.0,-123.126842,335,,,,Southbound Oak St @ W 12 Ave,0,BUS ZN,74
