,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,count
1176,SPRIWES4,1753,Springbank West of Westmount WB - #1753,,42.956117,-81.312954,,,,,,0,0
1177,SPRIWON1,1754,Springbank at Wonderland  EB - #1754,,42.96374,-81.292535,,,,,,0,0
1178,SPRIWON2,1755,Springbank at Wonderland  WB - #1755,,42.96345,-81.293513,,,,,,0,0
1179,STANFANS,1757,Stanton at Fanshawe Park SB - #1757,,43.010887,-81.333916,,,,,,0,0
1180,STANPERR,1758,Stanley at Perry EB - #1758,,42.978172,-81.259762,,,,,,0,0
1181,STANWHAR,1759,Stanley at Wharncliffe EB - #1759,,42.977719,-81.261462,,,,,,0,0
1182,STANWORT,1760,Stanley at Wortley EB - #1760,,42.978927,-81.257107,,,,,,0,0
1183,THIRCUL1,1769,Third at Culver Dr NB - #1769,,43.011042,-81.189523,,,,,,0,0
1184,THIRCUL2,1770,Third at Culver  SB - #1770,,43.008655,-81.188486,,,,,,0,0
1185,THIROXF1,1771,Third at Oxford NB - #1771,,43.013179,-81.19059,,,,,,0,0
1186,THIROXF2,1772,Third at Oxford  SB - #1772,,43.011824,-81.190053,,,,,,0,0
1187,THISBKW1,1773,Thistlewood at Blackwater EB - #1773,,43.044314,-81.25747,,,,,,0,0
1188,THOMADE1,1776,Princess Elizabeth Elementary School EB - #1776,,42.968377,-81.221932,,,,,,0,0
1189,THOMADE2,1777,Thompson at Adelaide WB - #1777,,42.968275,-81.223112,,,,,,0,0
1190,THOMCHE1,1779,Thompson at Chesterfield  EB - #1779,,42.969255,-81.216183,,,,,,0,0
1191,THOMCHE2,1780,Thompson at Chesterfield  WB - #1780,,42.969298,-81.21699,,,,,,0,0
1192,THOMEME1,1781,Thompson at Emerson  EB - #1781,,42.968937,-81.219792,,,,,,0,0
1193,THOMGLA1,1783,Thompson at Gladstone Ave EB - #1783,,42.969382,-81.21484,,,,,,0,0
1194,THOMGLA2,1784,Thompson at GladstoneWB - #1784,,42.969463,-81.214921,,,,,,0,0
1195,THOMJACQ,1785,Thompson at Jacqueline WB - #1785,,42.969025,-81.2199,,,,,,0,0
1196,THOMKED1,1786,Thompson at King Edward EB - #1786,,42.96964,-81.212344,,,,,,0,0
1197,THOMKED2,1787,Thompson at King Edward  WB - #1787,,42.969612,-81.213279,,,,,,0,0
1198,TRAFATK2,1788,Trafalgar at Atkinson WB - #1788,,42.990542,-81.1767,,,,,,0,0
1199,TRAFBALF,1789,Trafalgar at Balfour Place EB - #1789,,42.989742,-81.179139,,,,,,0,0
1200,TRAFBANC,1790,Trafalgar at Bancroft  WB - #1790,,42.994791,-81.1617,,,,,,0,0
1201,TRAFCLA1,1791,Trafalgar at Clarke Rd EB - #1791,,42.992012,-81.171074,,,,,,0,0
1202,TRAFCLA2,1792,Trafalgar at Clarke Rd WB - #1792,,42.992585,-81.169541,,,,,,0,0
1203,TRAFCLA4,1793,Trafalgar West of Clarke Rd WB - #1793,,42.992076,-81.171269,,,,,,0,0
1204,TRAFDAWN,1794,Trafalgar at Dawn WB - #1794,,42.989922,-81.178952,,,,,,0,0
1205,TRAFHUD2,1796,Trafalgar at Hudson  WB - #1796,,42.99612,-81.157048,,,,,,0,0
1206,TRAFHUD4,1797,Trafalgar Between Hudson and Admiral WB - #1797,,42.995507,-81.159215,,,,,,0,0
1207,TRAFMARC,1798,Trafalgar at Marconi Blvd  WB - #1798,,42.993244,-81.167201,,,,,,0,0
1208,TRAFSTE1,1799,Trafalgar at Stevenson Ave EB - #1799,,42.986995,-81.189037,,,,,,0,0
1209,TRAFSTE2,1800,Trafalgar at Stevenson Ave WB - #1800,,42.986732,-81.190088,,,,,,0,0
1210,TRAFTHO1,1801,Trafalgar at Thorne Ave EB - #1801,,42.987655,-81.18663,,,,,,0,0
1211,TRAFTHO2,1802,Trafalgar at Thorne WB - #1802,,42.987559,-81.18716,,,,,,0,0
1212,TRAFVAN1,1803,Trafalgar at Vancouver  EB - #1803,,42.989143,-81.181387,,,,,,0,0
1213,TRAFVAN2,1804,Trafalgar at Vancouver  WB - #1804,,42.989093,-81.181802,,,,,,0,0
1214,TWEECOU2,1810,Tweedsmuir at Court Lane East WB - #1810,,42.982252,-81.183322,,,,,,0,0
1215,TWEECOU4,1811,Tweedsmuir at Court Lane West WB - #1811,,42.982365,-81.185867,,,,,,0,0
1216,TWEEELLE,1812,Tweedsmuir at Ellesworth WB - #1812,,42.983016,-81.187912,,,,,,0,0
1217,TWEEHALE,1813,Tweedsmuir at Hale  WB - #1813,,42.982862,-81.191508,,,,,,0,0
