,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,count
63,2128,2128,NB New Brighton DR @ New Brighton AV SE,,50.922277,-113.936806,,,0,38
64,2129,2129,EB New Brighton DR @ New Brighton HT SE,,50.916486,-113.940834,,,0,38
65,2130,2130,EB New Brighton DR @ New Brighton PA SE,,50.917433,-113.937045,,,0,38
66,2131,2131,EB New Brighton DR @ New Brighton GV SE,,50.919602,-113.935511,,,0,38
67,2132,2132,WB New Brighton DR @ BrightonCrest PT SE,,50.923482,-113.938641,,,0,38
68,2133,2133,WB New Brighton DR @ BrightonCrest TC SE,,50.922111,-113.942857,,,0,38
69,2134,2134,WB New Brighton DR @ BrightonCrest RI SE,,50.921989,-113.946441,,,0,38
70,2135,2135,WB New Brighton DR @ BrightonCrest MR SE,,50.924384,-113.949381,,,0,38
71,2148,2148,WB 14 AV SW @ Ascot DR,,51.045264,-114.220049,,,0,37
72,2149,2149,Tuscany Station - Rocky Ridge Terminal,,51.135169,-114.234791,,,0,78
73,2150,2150,Tuscany Station - Rocky Ridge Terminal,,51.135036,-114.234832,,,0,76
74,2151,2151,Tuscany Station - Rocky Ridge Terminal,,51.134928,-114.234981,,,0,76
75,2152,2152,Tuscany Station - Tuscany Terminal,,51.133697,-114.235998,,,0,76
76,2153,2153,Tuscany Station - Tuscany Terminal,,51.133564,-114.235609,,,0,78
77,2155,2155,SB 23 ST NE @ 37 AV NE,,51.086447,-114.00518,,,0,26
78,2156,2156,SB 23 ST NE @ 35 AV NE,,51.083712,-114.005231,,,0,26
79,2157,2157,NB 23 ST NE @ 35 AV NE,,51.083995,-114.00499,,,0,26
80,2158,2158,NB 23 ST NE @ 32 AV NE,,51.082219,-114.004926,,,0,26
81,2165,2165,SB 5 ST SW @ 5 AV SW,,51.048411,-114.073787,,,0,41
82,2166,2166,EB 17 AV SE @ 65 ST SE,,51.037756,-113.93853,,,0,49
83,2168,2168,WB 8 AV NE @ 13A ST NE,,51.059211,-114.029067,,,0,41
84,2170,2170,SB Sheriff King ST @ N of 194 AV SW,,50.878274,-114.071086,,,0,53
85,2171,2171,EB Mahogany GA @ 52 ST SE,,50.899287,-113.943253,,,0,42
86,2172,2172,SB Sheriff King ST @ 194 AV SW,,50.876435,-114.071147,,,0,53
87,2173,2173,SB Sheriff King ST @ Yorkville AV SW,,50.874604,-114.071153,,,0,53
88,2174,2174,EB Belmont BV @ Sheriff King ST,,50.870365,-114.069917,,,0,53
89,2175,2175,EB Belmont BV @ Belmont DR,,50.870334,-114.063528,,,0,53
90,2176,2176,SB Sheriff King ST @ Silverado WY SW,,50.881776,-114.071102,,,0,53
91,2177,2177,EB 17 AV SE @ 68 ST SE,,51.037709,-113.934062,,,0,11
92,2178,2178,EB 17th AV SE @ 70th ST SE,,51.037693,-113.929646,,,0,76
93,2179,2179,WB 17 AV SE @ 68 ST SE,,51.037919,-113.936097,,,0,12
94,2180,2180,WB 17th AV SE @ 70th ST SE,,51.037941,-113.930992,,,0,78
95,2181,2181,NB Ogden RD @ 78 AV SE,,50.982976,-113.998665,,,0,71
96,2183,2183,NB 19 ST NE @ Aero DR,,51.137757,-114.013008,,,0,11
97,2184,2184,WB 100 AV NE @ 19 ST NE,,51.143451,-114.014166,,,0,11
98,2185,2185,NB Freeport BV @ 104 AV NE,,51.147475,-114.019984,,,0,11
99,2186,2186,SB 16 ST NE @ 104 AV NE,,51.146391,-114.0202,,,0,5
100,2187,2187,SB 19 ST NE @ 100 AV NE,,51.142816,-114.013493,,,0,5
101,2188,2188,WB Freeport BV @ 19 St NE,,51.150917,-114.013991,,,0,5
102,2190,2190,WB Freeport BV @ Barlow TR NE,,51.150946,-114.002893,,,0,5
103,2191,2191,WB Aero DR @ Aero CR E legNE,,51.136701,-114.026764,,,0,15
104,2192,2192,EB Freeport BV @ Freeport WY NE,,51.150589,-114.009294,,,0,11
105,2193,2193,SB Shaganappi TR @ Sage Valley BV NW,,51.175259,-114.15722,,,0,29
106,2194,2194,EB Sage Hill BV @ Shaganappi TR NW,,51.17017,-114.150749,,,0,60
107,2195,2195,EB Sage Hill BV @ Sage Hill PS NW,,51.170497,-114.14589,,,0,60
108,2196,2196,WB Symons Valley Py (128 Av NW) @ Kincora Ga NW,,51.16819,-114.147955,,,0,29
109,2197,2197,EB Symons Valley PY @ Shaganappi TR NW,,51.167864,-114.15046,,,0,27
